period_date,ae_type_1_attendances,ae_type_2_attendances,ae_type_3_attendances,ae_total_attendances,emergency_admissions_via_type_1_ae,emergency_admissions_via_type_2_ae,emergency_admissions_via_type_3_4_ae,emergency_admissions_via_ae,other_emergency_admissions,total_emergency_admissions,dta_waits_over_4h,dta_waits_over_12h,operational_standard
2010-08-01,1138652.0,54371.0,559358.0,1752381.0,287438.0,5367.0,8081.0,300886.0,124816.0,425702.0,3697.0,1.0,0.95
2010-09-01,1150728.0,55181.0,550359.0,1756268.0,293991.0,5543.0,3673.0,303207.0,121693.0,424900.0,5907.0,0.0,0.95
2010-10-01,1163143.0,54961.0,583244.0,1801348.0,303452.0,5485.0,2560.0,311497.0,124718.0,436215.0,6932.0,0.0,0.95
2010-11-01,1111294.5714285714,53727.42857142859,486005.42857142846,1651027.4285714284,297832.0000000001,5731.142857142856,3278.9999999999995,306842.1428571428,122256.85714285704,429099.0000000002,7179.000000000005,1.9999999999999996,0.95
2010-12-01,1159203.8571428563,45536.428571428565,533000.8571428574,1737741.1428571432,318602.42857142864,6277.000000000002,3198.4285714285706,328077.8571428571,124650.8571428571,452728.7142857142,13818.142857142859,14.999999999999996,0.95
2011-01-01,1133880.571428571,51584.857142857145,542331.2857142857,1727796.7142857143,308367.8571428572,5567.142857142855,3626.4285714285716,317561.42857142875,124442.28571428572,442003.71428571444,13162.000000000005,17.28571428571428,0.95
2011-02-01,1053707.1428571425,51249.285714285725,494407.57142857113,1599364.000000001,276645.85714285716,1678.0000000000002,2801.2857142857165,281125.14285714284,120081.28571428575,401206.4285714287,7872.428571428576,2.7142857142857135,0.95
2011-03-01,1225221.9999999993,57900.428571428565,580318.5714285714,1863441.0,308390.1428571428,2264.2857142857147,3821.5714285714294,314475.99999999994,132369.57142857142,446845.5714285715,8602.142857142855,0.5714285714285714,0.95
2011-04-01,1197212.7142857148,54042.42857142857,593119.7142857146,1844374.8571428566,295579.85714285716,2939.4285714285716,3066.7142857142844,301585.99999999994,117657.28571428568,419243.2857142858,7530.571428571423,6.428571428571429,0.95
2011-05-01,1221687.4285714289,57066.99999999999,594940.7142857144,1873695.142857144,299961.0,2982.0000000000014,2785.5714285714284,305728.57142857136,121548.00000000006,427276.5714285713,7308.571428571426,2.5714285714285707,0.95
2011-06-01,1168467.857142857,54739.428571428565,562209.9999999998,1785417.2857142866,290243.57142857136,2838.57142857143,2595.7142857142867,295677.85714285716,117643.00000000004,413320.8571428575,7059.5714285714275,9.571428571428573,0.95
2011-07-01,1211065.8571428566,56203.71428571431,597689.8571428569,1864959.428571428,299077.2857142858,3494.428571428572,2593.2857142857138,305165.0,120632.85714285717,425797.8571428571,5644.571428571432,5.8571428571428585,0.95
2011-08-01,1135801.4285714286,51890.28571428572,570416.5714285715,1758108.2857142854,289883.57142857125,2844.0000000000014,3225.0000000000014,295952.5714285715,114601.71428571433,410554.28571428586,4990.2857142857165,0.9999999999999998,0.95
2011-09-01,1162142.857142857,52329.285714285696,566738.4285714285,1781210.5714285718,291050.1428571427,3170.857142857142,3073.857142857144,297294.8571428572,113465.99999999999,410760.8571428571,7459.714285714285,9.285714285714286,0.95
2011-10-01,1200707.8571428573,54447.28571428574,593757.2857142858,1848912.4285714284,305952.14285714296,2176.9999999999995,4081.714285714285,312210.85714285704,122869.2857142857,435080.1428571428,9078.142857142857,41.57142857142856,0.95
2011-11-01,1134959.4285714277,51772.42857142857,554709.0000000001,1741440.8571428573,296725.7142857144,2987.0000000000005,4475.428571428571,304188.1428571427,120698.85714285716,424886.99999999977,8940.714285714283,28.14285714285715,0.95
2011-12-01,1141606.4285714282,47960.857142857145,542478.5714285712,1732045.8571428566,313713.5714285714,3073.142857142857,4230.571428571429,321017.28571428574,120637.99999999993,441655.2857142858,10945.85714285714,3.999999999999999,0.95
2012-01-01,1137915.5714285711,51607.14285714283,547995.2857142857,1737518.0,307650.8571428572,3174.0,4423.142857142856,315248.00000000006,120950.85714285713,436198.8571428573,14146.571428571431,8.000000000000002,0.95
2012-02-01,1120423.0000000002,51155.57142857144,532653.1428571428,1704231.714285714,296576.7142857143,3059.9999999999995,4261.142857142858,303897.8571428574,116654.71428571429,420552.5714285715,15698.428571428578,6.000000000000001,0.95
